year,category,quota_scope,seat_type,qualifying_marks,source
2019,general,AIQ,qualifying,134,NTA NEET (UG) 2019 result notice: UR/EWS qualifying range 701-134
2019,ews,AIQ,qualifying,134,NTA NEET (UG) 2019 result notice: UR/EWS qualifying range 701-134
2019,obc,AIQ,qualifying,107,NTA NEET (UG) 2019 result notice: OBC/SC/ST qualifying range 133-107
2019,sc,AIQ,qualifying,107,NTA NEET (UG) 2019 result notice: OBC/SC/ST qualifying range 133-107
2019,st,AIQ,qualifying,107,NTA NEET (UG) 2019 result notice: OBC/SC/ST qualifying range 133-107
2020,general,AIQ,qualifying,147,NTA NEET (UG) 2020 result notice: UR/EWS qualifying range 720-147
2020,ews,AIQ,qualifying,147,NTA NEET (UG) 2020 result notice: UR/EWS qualifying range 720-147
2020,obc,AIQ,qualifying,113,NTA NEET (UG) 2020 result notice: OBC/SC/ST qualifying range 146-113
2020,sc,AIQ,qualifying,113,NTA NEET (UG) 2020 result notice: OBC/SC/ST qualifying range 146-113
2020,st,AIQ,qualifying,113,NTA NEET (UG) 2020 result notice: OBC/SC/ST qualifying range 146-113
2021,general,AIQ,qualifying,138,NTA NEET (UG) 2021 result notice: UR/EWS qualifying range 720-138
2021,ews,AIQ,qualifying,138,NTA NEET (UG) 2021 result notice: UR/EWS qualifying range 720-138
2021,obc,AIQ,qualifying,108,NTA NEET (UG) 2021 result notice: OBC/SC/ST qualifying range 137-108
2021,sc,AIQ,qualifying,108,NTA NEET (UG) 2021 result notice: OBC/SC/ST qualifying range 137-108
2021,st,AIQ,qualifying,108,NTA NEET (UG) 2021 result notice: OBC/SC/ST qualifying range 137-108
2022,general,AIQ,qualifying,117,NTA NEET (UG) 2022 result notice: UR/EWS qualifying range 715-117
2022,ews,AIQ,qualifying,117,NTA NEET (UG) 2022 result notice: UR/EWS qualifying range 715-117
2022,obc,AIQ,qualifying,93,NTA NEET (UG) 2022 result notice: OBC/SC/ST qualifying range 116-93
2022,sc,AIQ,qualifying,93,NTA NEET (UG) 2022 result notice: OBC/SC/ST qualifying range 116-93
2022,st,AIQ,qualifying,93,NTA NEET (UG) 2022 result notice: OBC/SC/ST qualifying range 116-93
2023,general,AIQ,qualifying,137,NTA NEET (UG) 2023 result notice: UR/EWS qualifying range 720-137
2023,ews,AIQ,qualifying,137,NTA NEET (UG) 2023 result notice: UR/EWS qualifying range 720-137
2023,obc,AIQ,qualifying,107,NTA NEET (UG) 2023 result notice: OBC/SC/ST qualifying range 136-107
2023,sc,AIQ,qualifying,107,NTA NEET (UG) 2023 result notice: OBC/SC/ST qualifying range 136-107
2023,st,AIQ,qualifying,107,NTA NEET (UG) 2023 result notice: OBC/SC/ST qualifying range 136-107
2024,general,AIQ,qualifying,162,NTA NEET (UG) 2024 revised result notice (26 July 2024): UR/EWS qualifying range 720-162
2024,ews,AIQ,qualifying,162,NTA NEET (UG) 2024 revised result notice (26 July 2024): UR/EWS qualifying range 720-162
2024,obc,AIQ,qualifying,127,NTA NEET (UG) 2024 revised result notice (26 July 2024): OBC/SC/ST qualifying range 161-127
2024,sc,AIQ,qualifying,127,NTA NEET (UG) 2024 revised result notice (26 July 2024): OBC/SC/ST qualifying range 161-127
2024,st,AIQ,qualifying,127,NTA NEET (UG) 2024 revised result notice (26 July 2024): OBC/SC/ST qualifying range 161-127
2025,general,AIQ,qualifying,144,NTA NEET (UG) 2025 result notice: UR/EWS qualifying range 686-144
2025,ews,AIQ,qualifying,144,NTA NEET (UG) 2025 result notice: UR/EWS qualifying range 686-144
2025,obc,AIQ,qualifying,113,NTA NEET (UG) 2025 result notice: OBC/SC/ST qualifying range 143-113
2025,sc,AIQ,qualifying,113,NTA NEET (UG) 2025 result notice: OBC/SC/ST qualifying range 143-113
2025,st,AIQ,qualifying,113,NTA NEET (UG) 2025 result notice: OBC/SC/ST qualifying range 143-113
2026,general,AIQ,qualifying,213,NTA NEET (UG) 2026 result notice (16 July 2026): UR/EWS qualifying range 715-213 (Re-NEET)
2026,ews,AIQ,qualifying,213,NTA NEET (UG) 2026 result notice (16 July 2026): UR/EWS qualifying range 715-213 (Re-NEET)
2026,obc,AIQ,qualifying,177,NTA NEET (UG) 2026 result notice (16 July 2026): OBC/SC/ST qualifying range 212-177 (Re-NEET)
2026,sc,AIQ,qualifying,177,NTA NEET (UG) 2026 result notice (16 July 2026): OBC/SC/ST qualifying range 212-177 (Re-NEET)
2026,st,AIQ,qualifying,177,NTA NEET (UG) 2026 result notice (16 July 2026): OBC/SC/ST qualifying range 212-177 (Re-NEET)
