from_code,to_code
PHY.11.UNITS,PHY.11.KIN1D
PHY.11.KIN1D,PHY.11.KIN2D
PHY.11.KIN2D,PHY.11.NLM
PHY.11.NLM,PHY.11.WEP
PHY.11.WEP,PHY.11.ROT
PHY.11.NLM,PHY.11.ROT
PHY.11.NLM,PHY.11.GRAV
PHY.11.WEP,PHY.11.GRAV
PHY.11.NLM,PHY.11.ELAST
PHY.11.NLM,PHY.11.FLUID
PHY.11.THERMP,PHY.11.THERMO
PHY.11.THERMO,PHY.11.KTG
PHY.11.NLM,PHY.11.OSC
PHY.11.WEP,PHY.11.OSC
PHY.11.OSC,PHY.11.WAVES
PHY.11.WEP,PHY.12.EPC
PHY.11.KIN2D,PHY.12.ECF
PHY.12.ECF,PHY.12.EPC
PHY.12.EPC,PHY.12.CURR
PHY.12.CURR,PHY.12.MCM
PHY.11.KIN2D,PHY.12.MCM
PHY.12.MCM,PHY.12.MAGM
PHY.12.MCM,PHY.12.EMI
PHY.12.EMI,PHY.12.AC
PHY.11.OSC,PHY.12.AC
PHY.12.EMI,PHY.12.EMW
PHY.11.WAVES,PHY.12.EMW
PHY.11.WAVES,PHY.12.WAVOPT
PHY.12.RAYOPT,PHY.12.WAVOPT
PHY.12.EPC,PHY.12.DUAL
PHY.12.DUAL,PHY.12.ATOMS
PHY.12.ATOMS,PHY.12.NUCLEI
PHY.12.CURR,PHY.12.SEMI
PHY.11.UNITS,PHY.00.EXPSKILL
PHY.12.CURR,PHY.00.EXPSKILL
PHY.12.RAYOPT,PHY.00.EXPSKILL
PHY.12.SEMI,PHY.00.EXPSKILL
CHE.11.BASICS,CHE.11.ATOM
CHE.11.ATOM,CHE.11.PERIOD
CHE.11.PERIOD,CHE.11.BOND
CHE.11.ATOM,CHE.11.BOND
CHE.11.BASICS,CHE.11.THERMO
CHE.11.THERMO,CHE.11.EQUIL
CHE.11.BASICS,CHE.11.EQUIL
CHE.11.BASICS,CHE.11.REDOX
CHE.11.REDOX,CHE.12.ELECHEM
CHE.11.THERMO,CHE.12.ELECHEM
CHE.11.EQUIL,CHE.12.ELECHEM
CHE.11.BASICS,CHE.12.SOLN
CHE.11.EQUIL,CHE.12.SOLN
CHE.11.THERMO,CHE.12.KINET
CHE.11.PERIOD,CHE.00.PBLOCK
CHE.11.PERIOD,CHE.12.DFBLOCK
CHE.11.BOND,CHE.12.COORD
CHE.12.DFBLOCK,CHE.12.COORD
CHE.11.BOND,CHE.11.GOC
CHE.11.GOC,CHE.11.GOCTECH
CHE.11.GOC,CHE.11.HYDROC
CHE.11.HYDROC,CHE.12.HALO
CHE.12.HALO,CHE.12.ALCPHE
CHE.12.ALCPHE,CHE.12.CARBONYL
CHE.12.CARBONYL,CHE.12.AMINES
CHE.12.HALO,CHE.12.AMINES
CHE.12.CARBONYL,CHE.12.BIOMOL
CHE.11.GOC,CHE.12.BIOMOL
CHE.11.GOCTECH,CHE.00.PRACTICAL
CHE.11.REDOX,CHE.00.PRACTICAL
CHE.11.EQUIL,CHE.00.PRACTICAL
CHE.12.KINET,CHE.00.PRACTICAL
BOT.11.LIVING,BOT.11.CLASSIF
BOT.11.CLASSIF,BOT.11.PLANTK
BOT.11.CLASSIF,ZOO.11.ANIMALK
BOT.11.MORPH,BOT.11.ANAT
BOT.11.MORPH,BOT.12.SEXREPRO
ZOO.11.ANIMALK,ZOO.11.STRUCTANI
BOT.11.CELL,BOT.11.BIOMOL
BOT.11.CELL,BOT.11.CELLCYC
BOT.11.BIOMOL,BOT.11.PHOTOSYN
BOT.11.BIOMOL,BOT.11.RESP
BOT.11.CELL,BOT.11.PHOTOSYN
BOT.11.ANAT,BOT.11.GROWTH
ZOO.11.STRUCTANI,ZOO.11.BREATH
ZOO.11.STRUCTANI,ZOO.11.CIRC
ZOO.11.BREATH,ZOO.11.CIRC
ZOO.11.CIRC,ZOO.11.EXCRET
ZOO.11.STRUCTANI,ZOO.11.LOCOMOT
ZOO.11.STRUCTANI,ZOO.11.NEURAL
ZOO.11.NEURAL,ZOO.11.ENDOCR
ZOO.11.STRUCTANI,ZOO.12.HUMREPRO
ZOO.11.ENDOCR,ZOO.12.HUMREPRO
BOT.11.CELLCYC,ZOO.12.HUMREPRO
ZOO.12.HUMREPRO,ZOO.12.REPROHLTH
BOT.11.CELLCYC,BOT.12.SEXREPRO
BOT.11.CELLCYC,BOT.12.INHERIT
BOT.12.INHERIT,BOT.12.MOLBASIS
BOT.11.BIOMOL,BOT.12.MOLBASIS
BOT.12.MOLBASIS,ZOO.12.EVOL
BOT.12.INHERIT,ZOO.12.EVOL
BOT.11.CLASSIF,ZOO.12.HEALTH
BOT.11.CLASSIF,BOT.12.MICROBES
BOT.12.MOLBASIS,BOT.12.BIOTECHP
BOT.12.BIOTECHP,BOT.12.BIOTECHA
BOT.12.ORGPOP,BOT.12.ECOSYS
BOT.12.ECOSYS,BOT.12.BIODIV
