code,subject,class_level,parent_code,kind,name_en,name_hi,sort_order,default_learn_minutes,neet_relevant
PHY,physics,,,subject,Physics,भौतिकी,1,,true
CHE,chemistry,,,subject,Chemistry,रसायन विज्ञान,2,,true
BOT,botany,,,subject,Botany,वनस्पति विज्ञान,3,,true
ZOO,zoology,,,subject,Zoology,प्राणि विज्ञान,4,,true
PHY.U01,physics,,PHY,unit,Physics and Measurement,भौतिकी और मापन,1,,true
PHY.U02,physics,,PHY,unit,Kinematics,शुद्धगतिकी,2,,true
PHY.U03,physics,,PHY,unit,Laws of Motion,गति के नियम,3,,true
PHY.U04,physics,,PHY,unit,"Work, Energy and Power","कार्य, ऊर्जा और शक्ति",4,,true
PHY.U05,physics,,PHY,unit,Rotational Motion,घूर्णी गति,5,,true
PHY.U06,physics,,PHY,unit,Gravitation,गुरुत्वाकर्षण,6,,true
PHY.U07,physics,,PHY,unit,Properties of Solids and Liquids,ठोसों और द्रवों के गुण,7,,true
PHY.U08,physics,,PHY,unit,Thermodynamics,ऊष्मागतिकी,8,,true
PHY.U09,physics,,PHY,unit,Kinetic Theory of Gases,गैसों का अणुगति सिद्धांत,9,,true
PHY.U10,physics,,PHY,unit,Oscillations and Waves,दोलन और तरंगें,10,,true
PHY.U11,physics,,PHY,unit,Electrostatics,स्थिरवैद्युतिकी,11,,true
PHY.U12,physics,,PHY,unit,Current Electricity,विद्युत धारा,12,,true
PHY.U13,physics,,PHY,unit,Magnetic Effects of Current and Magnetism,धारा के चुंबकीय प्रभाव और चुंबकत्व,13,,true
PHY.U14,physics,,PHY,unit,Electromagnetic Induction and Alternating Currents,वैद्युतचुंबकीय प्रेरण और प्रत्यावर्ती धारा,14,,true
PHY.U15,physics,,PHY,unit,Electromagnetic Waves,वैद्युतचुंबकीय तरंगें,15,,true
PHY.U16,physics,,PHY,unit,Optics,प्रकाशिकी,16,,true
PHY.U17,physics,,PHY,unit,Dual Nature of Matter and Radiation,द्रव्य और विकिरण की द्वैत प्रकृति,17,,true
PHY.U18,physics,,PHY,unit,Atoms and Nuclei,परमाणु और नाभिक,18,,true
PHY.U19,physics,,PHY,unit,Electronic Devices,इलेक्ट्रॉनिक युक्तियाँ,19,,true
PHY.U20,physics,,PHY,unit,Experimental Skills,प्रायोगिक कौशल,20,,true
CHE.U01,chemistry,,CHE,unit,Some Basic Concepts in Chemistry,रसायन विज्ञान की कुछ मूल अवधारणाएँ,1,,true
CHE.U02,chemistry,,CHE,unit,Atomic Structure,परमाणु संरचना,2,,true
CHE.U03,chemistry,,CHE,unit,Chemical Bonding and Molecular Structure,रासायनिक आबंधन और आण्विक संरचना,3,,true
CHE.U04,chemistry,,CHE,unit,Chemical Thermodynamics,रासायनिक ऊष्मागतिकी,4,,true
CHE.U05,chemistry,,CHE,unit,Solutions,विलयन,5,,true
CHE.U06,chemistry,,CHE,unit,Equilibrium,साम्यावस्था,6,,true
CHE.U07,chemistry,,CHE,unit,Redox Reactions and Electrochemistry,अपचयोपचय अभिक्रियाएँ और वैद्युतरसायन,7,,true
CHE.U08,chemistry,,CHE,unit,Chemical Kinetics,रासायनिक बलगतिकी,8,,true
CHE.U09,chemistry,,CHE,unit,Classification of Elements and Periodicity in Properties,तत्वों का वर्गीकरण और गुणधर्मों में आवर्तिता,9,,true
CHE.U10,chemistry,,CHE,unit,p-Block Elements,p-ब्लॉक तत्व,10,,true
CHE.U11,chemistry,,CHE,unit,d- and f-Block Elements,d- और f-ब्लॉक तत्व,11,,true
CHE.U12,chemistry,,CHE,unit,Coordination Compounds,उपसहसंयोजन यौगिक,12,,true
CHE.U13,chemistry,,CHE,unit,Purification and Characterisation of Organic Compounds,कार्बनिक यौगिकों का शोधन और अभिलक्षणन,13,,true
CHE.U14,chemistry,,CHE,unit,Some Basic Principles of Organic Chemistry,कार्बनिक रसायन के कुछ मूल सिद्धांत,14,,true
CHE.U15,chemistry,,CHE,unit,Hydrocarbons,हाइड्रोकार्बन,15,,true
CHE.U16,chemistry,,CHE,unit,Organic Compounds Containing Halogens,हैलोजनयुक्त कार्बनिक यौगिक,16,,true
CHE.U17,chemistry,,CHE,unit,Organic Compounds Containing Oxygen,ऑक्सीजनयुक्त कार्बनिक यौगिक,17,,true
CHE.U18,chemistry,,CHE,unit,Organic Compounds Containing Nitrogen,नाइट्रोजनयुक्त कार्बनिक यौगिक,18,,true
CHE.U19,chemistry,,CHE,unit,Biomolecules,जैव-अणु,19,,true
CHE.U20,chemistry,,CHE,unit,Principles Related to Practical Chemistry,प्रायोगिक रसायन से संबंधित सिद्धांत,20,,true
BOT.U01,botany,,BOT,unit,Diversity in Living World: Plants and Microbes,जीव जगत में विविधता: पादप और सूक्ष्मजीव,1,,true
ZOO.U01,zoology,,ZOO,unit,Diversity in Living World: Animals,जीव जगत में विविधता: प्राणी,1,,true
BOT.U02,botany,,BOT,unit,Structural Organisation in Plants,पादपों में संरचनात्मक संगठन,2,,true
ZOO.U02,zoology,,ZOO,unit,Structural Organisation in Animals,प्राणियों में संरचनात्मक संगठन,2,,true
BOT.U03,botany,,BOT,unit,Cell Structure and Function,कोशिका संरचना और कार्य,3,,true
BOT.U04,botany,,BOT,unit,Plant Physiology,पादप कार्यिकी,4,,true
ZOO.U05,zoology,,ZOO,unit,Human Physiology,मानव कार्यिकी,3,,true
BOT.U06,botany,,BOT,unit,Reproduction: Flowering Plants,जनन: पुष्पी पादप,5,,true
ZOO.U06,zoology,,ZOO,unit,Reproduction: Human Reproduction and Reproductive Health,जनन: मानव जनन और जनन स्वास्थ्य,4,,true
BOT.U07,botany,,BOT,unit,Genetics and Evolution: Heredity and Molecular Basis,आनुवंशिकी और विकास: वंशागति और आणविक आधार,6,,true
ZOO.U07,zoology,,ZOO,unit,Genetics and Evolution: Evolution,आनुवंशिकी और विकास: विकास,5,,true
BOT.U08,botany,,BOT,unit,Biology and Human Welfare: Microbes,जीव विज्ञान और मानव कल्याण: सूक्ष्मजीव,7,,true
ZOO.U08,zoology,,ZOO,unit,Biology and Human Welfare: Health and Disease,जीव विज्ञान और मानव कल्याण: स्वास्थ्य और रोग,6,,true
BOT.U09,botany,,BOT,unit,Biotechnology and Its Applications,जैव प्रौद्योगिकी और उसके अनुप्रयोग,8,,true
BOT.U10,botany,,BOT,unit,Ecology and Environment,पारिस्थितिकी और पर्यावरण,9,,true
PHY.11.UNITS,physics,11,PHY.U01,chapter,Units and Measurement,मात्रक और मापन,1,135,true
PHY.11.UNITS.SIUNITS,physics,11,PHY.11.UNITS,topic,"Units of measurement, SI units, fundamental and derived units",,1,45,true
PHY.11.UNITS.ERRORS,physics,11,PHY.11.UNITS,topic,"Least count, significant figures and errors in measurement",,2,45,true
PHY.11.UNITS.DIMENS,physics,11,PHY.11.UNITS,topic,Dimensions of physical quantities and dimensional analysis,,3,45,true
PHY.11.KIN1D,physics,11,PHY.U02,chapter,Motion in a Straight Line,सरल रेखा में गति,1,135,true
PHY.11.KIN1D.FRAMES,physics,11,PHY.11.KIN1D,topic,"Frame of reference, position-time graph, speed and velocity",,1,45,true
PHY.11.KIN1D.ACCEL,physics,11,PHY.11.KIN1D,topic,"Uniform and non-uniform motion, uniformly accelerated motion and its relations",,2,45,true
PHY.11.KIN1D.GRAPHS,physics,11,PHY.11.KIN1D,topic,Velocity-time and position-time graphs,,3,45,true
PHY.11.KIN2D,physics,11,PHY.U02,chapter,Motion in a Plane,समतल में गति,2,225,true
PHY.11.KIN2D.VECTORS,physics,11,PHY.11.KIN2D,topic,"Scalars and vectors: addition, subtraction, unit vectors and resolution",,1,45,true
PHY.11.KIN2D.PRODUCTS,physics,11,PHY.11.KIN2D,topic,Scalar and vector products,,2,45,true
PHY.11.KIN2D.RELVEL,physics,11,PHY.11.KIN2D,topic,Relative velocity,,3,45,true
PHY.11.KIN2D.PROJ,physics,11,PHY.11.KIN2D,topic,Projectile motion,,4,45,true
PHY.11.KIN2D.UCM,physics,11,PHY.11.KIN2D,topic,Uniform circular motion,,5,45,true
PHY.11.NLM,physics,11,PHY.U03,chapter,Laws of Motion,गति के नियम,1,225,true
PHY.11.NLM.LAWS,physics,11,PHY.11.NLM,topic,"Force and inertia, Newton's three laws, momentum and impulse",,1,45,true
PHY.11.NLM.CONSMOM,physics,11,PHY.11.NLM,topic,Conservation of linear momentum and its applications,,2,45,true
PHY.11.NLM.EQUILIB,physics,11,PHY.11.NLM,topic,Equilibrium of concurrent forces,,3,45,true
PHY.11.NLM.FRICTION,physics,11,PHY.11.NLM,topic,"Static, kinetic and rolling friction and the laws of friction",,4,45,true
PHY.11.NLM.CIRCDYN,physics,11,PHY.11.NLM,topic,"Dynamics of uniform circular motion: centripetal force, level and banked roads",,5,45,true
PHY.11.WEP,physics,11,PHY.U04,chapter,"Work, Energy and Power","कार्य, ऊर्जा और शक्ति",1,270,true
PHY.11.WEP.WORK,physics,11,PHY.11.WEP,topic,Work done by a constant force and a variable force,,1,45,true
PHY.11.WEP.KEPE,physics,11,PHY.11.WEP,topic,Kinetic and potential energies and the work-energy theorem,,2,45,true
PHY.11.WEP.POWER,physics,11,PHY.11.WEP,topic,Power,,3,45,true
PHY.11.WEP.CONSERV,physics,11,PHY.11.WEP,topic,"Spring potential energy, conservative forces and conservation of mechanical energy",,4,45,true
PHY.11.WEP.VERTCIRC,physics,11,PHY.11.WEP,topic,Motion in a vertical circle,,5,45,true
PHY.11.WEP.COLLIS,physics,11,PHY.11.WEP,topic,Elastic and inelastic collisions in one and two dimensions,,6,45,true
PHY.11.ROT,physics,11,PHY.U05,chapter,Systems of Particles and Rotational Motion,कणों के निकाय तथा घूर्णी गति,1,270,true
PHY.11.ROT.COM,physics,11,PHY.11.ROT,topic,Centre of mass of a two-particle system and of a rigid body,,1,45,true
PHY.11.ROT.TORQUE,physics,11,PHY.11.ROT,topic,"Moment of a force, torque and angular momentum",,2,45,true
PHY.11.ROT.CONSANG,physics,11,PHY.11.ROT,topic,Conservation of angular momentum and its applications,,3,45,true
PHY.11.ROT.MOI,physics,11,PHY.11.ROT,topic,"Moment of inertia, radius of gyration and simple geometrical objects",,4,45,true
PHY.11.ROT.AXES,physics,11,PHY.11.ROT,topic,Parallel and perpendicular axes theorems,,5,45,true
PHY.11.ROT.RIGID,physics,11,PHY.11.ROT,topic,"Equilibrium of rigid bodies, equations of rotational motion, linear versus rotational",,6,45,true
PHY.11.GRAV,physics,11,PHY.U06,chapter,Gravitation,गुरुत्वाकर्षण,1,225,true
PHY.11.GRAV.LAW,physics,11,PHY.11.GRAV,topic,Universal law of gravitation,,1,45,true
PHY.11.GRAV.GVAR,physics,11,PHY.11.GRAV,topic,Acceleration due to gravity and its variation with altitude and depth,,2,45,true
